Depth	Density	sigma_D	sigma_o18	sigma_o17
79.00	843.847	0.084815	0.091656	0.092720
79.50	844.883	0.084711	0.091543	0.092607
80.00	845.905	0.084609	0.091433	0.092495
80.50	846.915	0.084508	0.091324	0.092384
81.00	847.911	0.084409	0.091217	0.092276
81.50	848.894	0.084311	0.091111	0.092169
82.00	849.864	0.084215	0.091007	0.092064
82.50	850.821	0.084120	0.090904	0.091960
83.00	851.766	0.084027	0.090804	0.091858
83.50	852.698	0.083935	0.090704	0.091758
84.00	853.618	0.083844	0.090607	0.091659
84.50	854.526	0.083755	0.090510	0.091562
85.00	855.422	0.083667	0.090416	0.091466
85.50	856.306	0.083581	0.090322	0.091371
